functionName,elapsedTime,numCalls,percentage,avgTime
SolveCorrelations,5366.718530164959,25,37.84,214.66874120659836
__CalculateDoubleTimeCorrelations,5140.080546374025,25,36.24,205.60322185496102
__ClassicallyDrivenSSHEquations,2994.769341966632,480428894,21.11,6.233532952259595e-06
__CalculateSingleTimeCorrelations,224.75932349801587,25,1.58,8.990372939920634
__SinusoidalDrivingTerm,202.32995843836397,480428969,1.43,4.2114437615930685e-07
CalculateCurrent,126.94325362601376,25,0.89,5.07773014504055
__CalculateDoubleTimeCurrent,113.05956504300411,25,0.8,4.522382601720165
__CalculateConnectedCurrentCorrelator,13.629435329974513,25,0.1,0.5451774131989805
__CalculateSingleTimeFourierSeries,1.8611356249602977,25,0.01,0.0744454249984119
__CalculateCurrentHarmonics,0.13635741398320533,25,0.0,0.005454296559328213
__CalculateCurrentFourier,0.08676175300206523,25,0.0,0.0034704701200826095
__CalculateCurrentExpectation,0.02527945894689765,25,0.0,0.001011178357875906
__CreateFourierMatrix,0.007326581981033087,25,0.0,0.00029306327924132346
__CalculateSteadyStateMask,0.00673783001548145,100,0.0,6.73783001548145e-05
__CalculateDoubleTimeInitialConditions,0.003653126026620157,25,0.0,0.00014612504106480627
__CalculateVzFourier,0.0027810429892269894,25,0.0,0.00011124171956907957
__CalculateVpmFourier,0.002297003011335619,25,0.0,9.188012045342475e-05
__CalculateDoubleTimeInhomogeousParts,0.001575709946337156,25,0.0,6.302839785348623e-05
