functionName,momentum,elapsedTime,numCalls
__SinusoidalDrivingTerm,-3.141592653589793,15.50074931862764,43936571
__ClassicallyDrivenSSHEquations,-3.141592653589793,76.13878410600591,10984142
__CalculateSingleTimeCorrelations,-3.141592653589793,4.881379917031154,1
__CalculateSteadyStateMask,-3.141592653589793,0.00010095909237861633,4
__CalculateSingleTimeFourierSeries,-3.141592653589793,0.000507500022649765,1
__CalculateDoubleTimeInitialConditions,-3.141592653589793,4.9749971367418766e-05,1
__CalculateDoubleTimeInhomogeousParts,-3.141592653589793,1.5791039913892746e-05,1
__CalculateDoubleTimeCorrelations,-3.141592653589793,128.30296095798258,1
SolveCorrelations,-3.141592653589793,133.1848881249316,1
__CalculateCurrentExpectation,-3.141592653589793,0.0010559168877080083,1
__CalculateCurrentFourier,-3.141592653589793,0.00034662499092519283,1
__CalculateDoubleTimeCurrent,-3.141592653589793,0.5075589170446619,1
__CalculateConnectedCurrentCorrelator,-3.141592653589793,0.11382779199630022,1
__CalculateCurrentHarmonics,-3.141592653589793,0.008046415983699262,1
CalculateCurrent,-3.141592653589793,0.6310457909712568,1
__SinusoidalDrivingTerm,-2.8797932657906435,15.916428245953284,44568251
__ClassicallyDrivenSSHEquations,-2.8797932657906435,78.1801072981907,11142062
__CalculateSingleTimeCorrelations,-2.8797932657906435,5.295850457972847,1
__CalculateSteadyStateMask,-2.8797932657906435,0.00014658295549452305,4
__CalculateSingleTimeFourierSeries,-2.8797932657906435,0.0013550840085372329,1
__CalculateDoubleTimeInitialConditions,-2.8797932657906435,8.433300536125898e-05,1
__CalculateDoubleTimeInhomogeousParts,-2.8797932657906435,1.9417027942836285e-05,1
__CalculateDoubleTimeCorrelations,-2.8797932657906435,131.2690530840773,1
SolveCorrelations,-2.8797932657906435,136.56633316597436,1
__CalculateCurrentExpectation,-2.8797932657906435,0.0014306670054793358,1
__CalculateCurrentFourier,-2.8797932657906435,0.0003326669102534652,1
__CalculateDoubleTimeCurrent,-2.8797932657906435,0.460213333950378,1
__CalculateConnectedCurrentCorrelator,-2.8797932657906435,0.11483249999582767,1
__CalculateCurrentHarmonics,-2.8797932657906435,0.009458958986215293,1
CalculateCurrent,-2.8797932657906435,0.5864583330694586,1
__SinusoidalDrivingTerm,-2.6179938779914944,16.00892988895066,45888659
__ClassicallyDrivenSSHEquations,-2.6179938779914944,78.79642565804534,11472164
__CalculateSingleTimeCorrelations,-2.6179938779914944,5.257551165996119,1
__CalculateSteadyStateMask,-2.6179938779914944,9.587605018168688e-05,4
__CalculateSingleTimeFourierSeries,-2.6179938779914944,0.0005745000671595335,1
__CalculateDoubleTimeInitialConditions,-2.6179938779914944,5.337502807378769e-05,1
__CalculateDoubleTimeInhomogeousParts,-2.6179938779914944,1.6000005416572094e-05,1
__CalculateDoubleTimeCorrelations,-2.6179938779914944,132.31508212490007,1
SolveCorrelations,-2.6179938779914944,137.57324541697744,1
__CalculateCurrentExpectation,-2.6179938779914944,0.0008857079083099961,1
__CalculateCurrentFourier,-2.6179938779914944,0.00027845799922943115,1
__CalculateDoubleTimeCurrent,-2.6179938779914944,0.48119533306453377,1
__CalculateConnectedCurrentCorrelator,-2.6179938779914944,0.12163379101548344,1
__CalculateCurrentHarmonics,-2.6179938779914944,0.00453858298715204,1
CalculateCurrent,-2.6179938779914944,0.6088082089554518,1
__SinusoidalDrivingTerm,-2.356194490192345,16.278821854968555,45956555
__ClassicallyDrivenSSHEquations,-2.356194490192345,80.35814150911756,11489138
__CalculateSingleTimeCorrelations,-2.356194490192345,6.605886792065576,1
__CalculateSteadyStateMask,-2.356194490192345,0.00014658307190984488,4
__CalculateSingleTimeFourierSeries,-2.356194490192345,0.000819374923594296,1
__CalculateDoubleTimeInitialConditions,-2.356194490192345,6.158300675451756e-05,1
__CalculateDoubleTimeInhomogeousParts,-2.356194490192345,1.916696783155203e-05,1
__CalculateDoubleTimeCorrelations,-2.356194490192345,133.75687516701873,1
SolveCorrelations,-2.356194490192345,140.36363462498412,1
__CalculateCurrentExpectation,-2.356194490192345,0.0009725410491228104,1
__CalculateCurrentFourier,-2.356194490192345,0.0003003340680152178,1
__CalculateDoubleTimeCurrent,-2.356194490192345,0.46271462505683303,1
__CalculateConnectedCurrentCorrelator,-2.356194490192345,0.13015225005801767,1
__CalculateCurrentHarmonics,-2.356194490192345,0.009592833928763866,1
CalculateCurrent,-2.356194490192345,0.6039296248927712,1
__SinusoidalDrivingTerm,-2.0943951023931957,12.872319907764904,36776123
__ClassicallyDrivenSSHEquations,-2.0943951023931957,63.08723558462225,9194030
__CalculateSingleTimeCorrelations,-2.0943951023931957,5.677547249943018,1
__CalculateSteadyStateMask,-2.0943951023931957,6.208207923918962e-05,4
__CalculateSingleTimeFourierSeries,-2.0943951023931957,0.0005043329438194633,1
__CalculateDoubleTimeInitialConditions,-2.0943951023931957,5.1999930292367935e-05,1
__CalculateDoubleTimeInhomogeousParts,-2.0943951023931957,1.7749960534274578e-05,1
__CalculateDoubleTimeCorrelations,-2.0943951023931957,103.91017299995292,1
SolveCorrelations,-2.0943951023931957,109.58824754098896,1
__CalculateCurrentExpectation,-2.0943951023931957,0.004014208912849426,1
__CalculateCurrentFourier,-2.0943951023931957,0.0007271250942721963,1
__CalculateDoubleTimeCurrent,-2.0943951023931957,0.46751837502233684,1
__CalculateConnectedCurrentCorrelator,-2.0943951023931957,0.11626137502025813,1
__CalculateCurrentHarmonics,-2.0943951023931957,0.004521082970313728,1
CalculateCurrent,-2.0943951023931957,0.5932221660623327,1
