functionName,elapsedTime,numCalls,percentage,avgTime
SolveCorrelations,3508.125184042001,10,38.08,350.8125184042001
__CalculateDoubleTimeCorrelations,3441.2091461670207,10,37.36,344.12091461670207
__ClassicallyDrivenSSHEquations,2037.7237794059329,338465258,22.12,6.020481367709335e-06
__SinusoidalDrivingTerm,138.62570858407707,338465288,1.5,4.0957141987357085e-07
__CalculateSingleTimeCorrelations,66.16761049997876,10,0.72,6.616761049997876
CalculateCurrent,9.764569583014236,10,0.11,0.9764569583014235
__CalculateDoubleTimeCurrent,8.739006957999663,10,0.09,0.8739006957999663
__CalculateConnectedCurrentCorrelator,0.9674342480138876,10,0.01,0.09674342480138876
__CalculateSingleTimeFourierSeries,0.7447858750092564,10,0.01,0.07447858750092565
__CalculateCurrentFourier,0.037609373990562744,10,0.0,0.0037609373990562744
__CalculateCurrentHarmonics,0.011807376984506845,10,0.0,0.0011807376984506845
__CalculateCurrentExpectation,0.007279417011886835,10,0.0,0.0007279417011886835
__CreateFourierMatrix,0.0038211259961826727,10,0.0,0.00038211259961826725
__CalculateDoubleTimeInitialConditions,0.0028789199859602377,10,0.0,0.00028789199859602377
__CalculateVzFourier,0.0015527519717579708,10,0.0,0.00015527519717579709
__CalculateDoubleTimeInhomogeousParts,0.0013753319944953546,10,0.0,0.00013753319944953546
__CalculateVpmFourier,0.0009549150126986206,10,0.0,9.549150126986206e-05
__CalculateSteadyStateMask,0.0005885399295948446,40,0.0,1.4713498239871115e-05
